Grievance/Complaint,Offense Tag(s)
I am a faculty member reporting a student who has been repeatedly coming to class late and leaving early without permission. This disrupts the class and shows disrespect. I would like disciplinary action taken for cutting class.,12.1.1
"As a student, I am filing a grievance against my classmate who often leaves class early without the professor's permission. It's distracting and unfair to the rest of us who show up on time and stay for the full lecture.",12.1.1
I am an administrator filing on behalf of a professor who complained that a student has missed multiple classes without excuse and is violating attendance policy. The student needs to be disciplined for cutting class.,12.1.1
"As a staff member, I want to report a student I saw leaving campus before his scheduled classes were over for the day. This is a repeat offense of cutting class and disrupting the learning environment.",12.1.1
I am a student filing a complaint about my classmate who is rarely in class even though I see him on campus. He is violating policy by cutting class frequently and affecting his own and others' learning. Discipline is needed.,12.1.1
"As a faculty member, I need to report a student who has missed 7 classes so far this term without excuse. She is in violation of attendance policy and her cutting class must be addressed with disciplinary action.",12.1.1
I'm a staff member reporting a student who appears to be cutting class. He is often wandering campus during times he should be in class. This violates school rules and must be addressed.,12.1.1
I'm filing a grievance as a student because my classmate misses class frequently without permission or excuse. It's disruptive having him come and go while the rest of us are trying to learn. He should face discipline.,12.1.1
"As an administrator, a student has been reported to me for leaving class early every day without the instructor's consent. This violates policy on cutting class and appropriate discipline should be taken.",12.1.1
I'm a faculty member filing a complaint about a student who has missed over 25% of classes so far without excuse. She is in violation of attendance policy and her cutting class must be disciplined.,12.1.1
I'm a student grievant requesting disciplinary action for a classmate who is chronically late to class and disruptive. He cuts class by missing the beginning without excuse which violates school rules.,12.1.1
"As a staff member, I want to report seeing a student who should have been in class at that time instead roaming campus. I know he cuts class frequently in violation of policy and should face discipline.",12.1.1
"I'm an administrator receiving complaints that a student has been missing class without excuse and against policy. Per faculty reports, he cuts class habitually and will require disciplinary intervention.",12.1.1
I am a faculty member filing a grievance about a student who has missed over 30% of our classes so far for no excused reason. This violation of cutting classes must be addressed with corrective discipline.,12.1.1
"As a staff member, I often see a student wandering campus during class periods he should be attending. The policy violation of cutting class must be addressed with appropriate disciplinary action.",12.1.1
"I'm a student filing about my classmate who skips classes without permission all the time. He just comes and goes as he pleases, which violates policy. His cutting class is disruptive and he should face discipline.",12.1.1
"I'm an administrator filing a complaint on behalf of a professor about a student missing too many classes without valid reason, in violation of attendance policy. The student's cutting class must be disciplined accordingly.",12.1.1
"As a faculty member, I'm filing a grievance about a student with excessive unexcused absences. She has missed over 35% of classes so far, violating policy by cutting class. Disciplinary action is required at this point.",12.1.1
I'm a staff member filing about a student I regularly see in the lounge during class time instead of her chemistry lab. She is cutting class against policy and needs disciplinary intervention.,12.1.1
I'm a fellow student reporting another who carelessly cuts our physics class on Fridays. He just doesn't show up without permission which violates attendance rules. I ask he face appropriate discipline for this cutting class.,12.1.1
I'm an administrator filing on a complaint that a student leaves class early multiple times a week without the instructor's consent. This cutting class violates school policy and requires discipline.,12.1.1
"As a faculty member, I'm grievant requesting disciplinary action for a student with over 20% unexcused absences so far. He's cutting class excessively and violating attendance policy, requiring corrective action.",12.1.1
I'm staff reporting witnessing a student who should have been in his afternoon classes instead leaving campus. I know he cuts class frequently which violates rules. Discipline is needed.,12.1.1
I'm a student filing an official complaint about my classmate who misses class all the time and disrupts our learning. She cuts class without permission which violates attendance rules. Discipline is required.,12.1.1
"As a faculty member, I need to file a grievance about a student with over 40% absences without excuse so far. He is in serious violation of attendance policy by cutting class excessively and requires discipline.",12.1.1
I'm an administrator submitting a complaint on behalf of a professor about a student who has missed 30% of classes unexcused. Cutting class violates policy so the student needs disciplinary intervention.,12.1.1
"I'm staff grievant about a student I see wandering around instead of attending her classes on Tuesdays and Thursdays. She cuts class without permission, violating school rules. Discipline is needed.",12.1.1
"As a fellow student, I'm reporting a grievance about my classmate who cuts our morning lecture multiple times a week. His chronic cutting class without excuse violates attendance policy. Discipline is in order.",12.1.1
I'm a faculty member filing an official complaint about a student with over 35% unexcused absences who is in violation of attendance rules. His cutting class is disruptive and requires disciplinary action.,12.1.1
"As an administrator, I'm submitting a grievance on behalf of a professor about a student missing their 9 AM class excessively. Cutting class without excuse violates school policy and requires discipline.",12.1.1
I'm staff witness to a student cutting class as I've seen her heading off campus on multiple Fridays when she should be in afternoon classes. Her violation of attendance rules by cutting class requires discipline.,12.1.1
I'm a student filing an official complaint about my classmate who is constantly missing our morning lectures without permission. Her chronic cutting class is disruptive and violates attendance policy. Discipline is needed.,12.1.1
"As faculty, I'm submitting a formal grievance about a student with 30%+ unexcused absences in violation of attendance rules. His excessive cutting class is unacceptable and requires disciplinary action.",12.1.1
I'm staff reporting witnessing a student leaving campus early everyday last week during class periods. Cutting class without excuse violates school policy and should be disciplined.,12.1.1
I'm a student filing a complaint about my classmate missing lab sessions without excuse. This cutting class makes group work difficult. It violates attendance rules so I ask disciplinary action be taken.,12.1.1
"As an administrator, I have a complaint about a student with excessive absences based on faculty reports. By cutting class without excuse, he's violated policy and requires discipline.",12.1.1
I'm a faculty grievant about a chronically tardy student who misses the first 30 minutes of my 9 AM lectures multiple times a week. Her cutting class violates policy and requires disciplinary intervention.,12.1.1
"As staff, I often witness a student missing his last class on Fridays by leaving campus early. He cuts class without permission regularly, violating attendance rules. I request appropriate discipline.",12.1.1
I'm a student filing a grievance about my classmate who leaves our 3-hour lab sessions an hour early multiple times without excuse. His cutting class violates school policy so I believe discipline should occur.,12.1.1
"As faculty, I need to submit a formal complaint about a student with excessive unexcused Monday absences. By cutting my scheduled class repeatedly, she violated policy and requires discipline.",12.1.1
I'm staff witness to a student loitering off-campus while his classes are in session. His cutting class violates school rules and should be disciplined.,12.1.1
I'm a student grievant wanting disciplinary action for my classmate who leaves right after break during our 3 hour classes. Him constantly cutting class disrupts learning and violates attendance policy.,12.1.1
"As faculty, a student has missed over 35% of my classes without valid reason. Her chronic cutting class violates policy and disrupts learning. I formally request appropriate disciplinary action.",12.1.1
I'm staff reporting a student who appears to be cutting class based on seeing him off-campus during scheduled class times. This violation needs to be disciplined.,12.1.1
"I'm a student filing about my classmate who is missing at least 2 classes every week without excuse. By cutting class, she violates policy. I think disciplinary action should be taken to correct this.",12.1.1
