text_id,grievance,offense_tag
1,I am a faculty member reporting a student who has been repeatedly coming to class late and leaving early without permission. This disrupts the class and shows disrespect. I would like disciplinary action taken for cutting class.,"12.1.1 Violation of the usual classroom rules and regulations, such as cutting of classes set by the instructor."
2,"As a student, I am filing a grievance against my classmate who often leaves class early without the professor's permission. It's distracting and unfair to the rest of us who show up on time and stay for the full lecture.","12.1.1 Violation of the usual classroom rules and regulations, such as cutting of classes set by the instructor."
3,I am an administrator filing on behalf of a professor who complained that a student has missed multiple classes without excuse and is violating attendance policy. The student needs to be disciplined for cutting class.,"12.1.1 Violation of the usual classroom rules and regulations, such as cutting of classes set by the instructor."
4,"As a staff member, I want to report a student I saw leaving campus before his scheduled classes were over for the day. This is a repeat offense of cutting class and disrupting the learning environment.","12.1.1 Violation of the usual classroom rules and regulations, such as cutting of classes set by the instructor."
5,I am a student filing a complaint about my classmate who is rarely in class even though I see him on campus. He is violating policy by cutting class frequently and affecting his own and others' learning. Discipline is needed.,"12.1.1 Violation of the usual classroom rules and regulations, such as cutting of classes set by the instructor."
6,"As a faculty member, I need to report a student who has missed 7 classes so far this term without excuse. She is in violation of attendance policy and her cutting class must be addressed with disciplinary action.","12.1.1 Violation of the usual classroom rules and regulations, such as cutting of classes set by the instructor."
7,I'm a staff member reporting a student who appears to be cutting class. He is often wandering campus during times he should be in class. This violates school rules and must be addressed.,"12.1.1 Violation of the usual classroom rules and regulations, such as cutting of classes set by the instructor."
8,I'm filing a grievance as a student because my classmate misses class frequently without permission or excuse. It's disruptive having him come and go while the rest of us are trying to learn. He should face discipline.,"12.1.1 Violation of the usual classroom rules and regulations, such as cutting of classes set by the instructor."
9,"As an administrator, a student has been reported to me for leaving class early every day without the instructor's consent. This violates policy on cutting class and appropriate discipline should be taken.","12.1.1 Violation of the usual classroom rules and regulations, such as cutting of classes set by the instructor."
10,I'm a faculty member filing a complaint about a student who has missed over 25% of classes so far without excuse. She is in violation of attendance policy and her cutting class must be disciplined.,"12.1.1 Violation of the usual classroom rules and regulations, such as cutting of classes set by the instructor."
11,I'm a student grievant requesting disciplinary action for a classmate who is chronically late to class and disruptive. He cuts class by missing the beginning without excuse which violates school rules.,"12.1.1 Violation of the usual classroom rules and regulations, such as cutting of classes set by the instructor."
12,"As a staff member, I want to report seeing a student who should have been in class at that time instead roaming campus. I know he cuts class frequently in violation of policy and should face discipline.","12.1.1 Violation of the usual classroom rules and regulations, such as cutting of classes set by the instructor."
13,"I'm an administrator receiving complaints that a student has been missing class without excuse and against policy. Per faculty reports, he cuts class habitually and will require disciplinary intervention.","12.1.1 Violation of the usual classroom rules and regulations, such as cutting of classes set by the instructor."
14,I am a faculty member filing a grievance about a student who has missed over 30% of our classes so far for no excused reason. This violation of cutting classes must be addressed with corrective discipline.,"12.1.1 Violation of the usual classroom rules and regulations, such as cutting of classes set by the instructor."
15,"As a staff member, I often see a student wandering campus during class periods he should be attending. The policy violation of cutting class must be addressed with appropriate disciplinary action.","12.1.1 Violation of the usual classroom rules and regulations, such as cutting of classes set by the instructor."
16,"I'm a student filing about my classmate who skips classes without permission all the time. He just comes and goes as he pleases, which violates policy. His cutting class is disruptive and he should face discipline.","12.1.1 Violation of the usual classroom rules and regulations, such as cutting of classes set by the instructor."
17,"I'm an administrator filing a complaint on behalf of a professor about a student missing too many classes without valid reason, in violation of attendance policy. The student's cutting class must be disciplined accordingly.","12.1.1 Violation of the usual classroom rules and regulations, such as cutting of classes set by the instructor."
18,"As a faculty member, I'm filing a grievance about a student with excessive unexcused absences. She has missed over 35% of classes so far, violating policy by cutting class. Disciplinary action is required at this point.","12.1.1 Violation of the usual classroom rules and regulations, such as cutting of classes set by the instructor."
19,I'm a staff member filing about a student I regularly see in the lounge during class time instead of her chemistry lab. She is cutting class against policy and needs disciplinary intervention.,"12.1.1 Violation of the usual classroom rules and regulations, such as cutting of classes set by the instructor."
20,I'm a fellow student reporting another who carelessly cuts our physics class on Fridays. He just doesn't show up without permission which violates attendance rules. I ask he face appropriate discipline for this cutting class.,"12.1.1 Violation of the usual classroom rules and regulations, such as cutting of classes set by the instructor."
21,I'm an administrator filing on a complaint that a student leaves class early multiple times a week without the instructor's consent. This cutting class violates school policy and requires discipline.,"12.1.1 Violation of the usual classroom rules and regulations, such as cutting of classes set by the instructor."
22,"As a faculty member, I'm grievant requesting disciplinary action for a student with over 20% unexcused absences so far. He's cutting class excessively and violating attendance policy, requiring corrective action.","12.1.1 Violation of the usual classroom rules and regulations, such as cutting of classes set by the instructor."
